Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,0.6728,0.2344,0.1950,1.1937,0.0943
001,0.9645,0.4505,0.1992,0.9350,0.3064
002,0.9748,0.4043,0.2292,0.9052,0.4921
003,0.6913,0.2870,0.1196,0.6552,0.1432
004,1.0504,0.4688,0.2139,1.2206,0.1286
005,1.0161,0.4543,0.2597,3.7918,0.6532
006,1.7904,0.6863,0.6689,3.5626,0.8756
007,1.1596,0.7077,0.2700,1.7165,0.1138
008,1.1571,0.4282,0.2591,0.7773,0.1470
009,0.7931,0.3688,0.2147,0.3806,0.2895
010,0.6359,0.2425,0.1413,2.6483,0.3653
011,0.6140,0.1915,0.1478,1.5099,0.2399
012,0.7708,0.2404,0.1998,0.7713,0.1853
013,0.4231,0.1673,0.1195,0.5489,0.2427
014,0.6227,0.2287,0.1581,0.3730,0.3643
015,0.6223,0.1832,0.1451,2.0446,0.1788
016,0.5866,0.2148,0.1218,2.8953,0.4397
017,0.6718,0.3038,0.2089,1.3041,0.3109
018,0.7126,0.2355,0.2051,1.0623,0.1510
019,0.8364,0.3005,0.2224,1.5281,0.1040
020,0.7772,0.2767,0.1774,0.3027,0.2399
021,0.7669,0.2766,0.1896,1.4254,0.2247
022,0.4784,0.1991,0.1214,1.3561,0.2064
023,0.4625,0.1966,0.1373,0.3238,0.2167
024,0.6344,0.2682,0.1935,0.2392,0.3336
025,0.7248,0.3582,0.1618,4.4076,0.5480
026,0.8901,0.3155,0.2905,2.1256,0.3069
027,0.6728,0.2344,0.1950,1.1937,0.0943
Averages,0.7919,0.3187,0.2059,1.4714,0.2856
